gr_liv_area,overall_qual,year_built,garage_cars,total_bsmt_sf,first_flr_sf,second_flr_sf,total_sf,full_bath,totrms_abvgrd,Actual,Predicted
1040,3,1950,2.0,0.0,1040,0,1040.0,2,6,93500,59773.88847135822
984,5,1959,1.0,984.0,984,0,1968.0,1,5,110000,116398.58435712021
3005,7,2004,3.0,1376.0,1376,1629,4381.0,2,9,280750,316849.48115846445
1055,7,1977,2.0,1055.0,1055,0,2110.0,2,4,148500,180693.56837486685
894,4,1960,2.0,894.0,894,0,1788.0,1,5,141500,100517.81389990228
1027,5,1962,1.0,1027.0,1027,0,2054.0,1,6,125900,118349.11273724586
879,5,1936,1.0,830.0,879,0,1709.0,1,4,80000,100441.32469863514
1504,6,2007,2.0,752.0,752,752,2256.0,2,6,166000,181887.18632190966
894,3,1935,3.0,894.0,894,0,1788.0,1,6,81000,80458.67401907395
1338,8,2007,2.0,1338.0,1338,0,2676.0,2,6,208900,232537.51016116666
1425,7,1998,2.0,1425.0,1425,0,2850.0,2,5,193000,219758.70328067895
1720,7,2002,2.0,840.0,840,880,2560.0,2,7,188000,213742.79257847928
1052,6,1963,1.0,1052.0,1052,0,2104.0,1,6,127000,141858.9529587709
1668,5,1948,1.0,1212.0,1226,442,2880.0,1,6,135000,158511.32401457382
1873,7,1988,2.0,929.0,946,927,2802.0,2,7,207000,221106.64482262894
2253,8,2005,2.0,1209.0,1209,1044,3462.0,2,8,344133,276973.0072308942
1566,5,1924,2.0,816.0,816,750,2382.0,1,7,139000,140297.8421571661
990,5,1994,1.0,990.0,990,0,1980.0,1,5,126000,129661.70602148073
1358,7,2007,2.0,1350.0,1358,0,2708.0,2,6,217300,213444.0349682368
987,6,1971,1.0,483.0,483,504,1470.0,1,5,96000,125384.19032555283
1800,5,1961,0.0,1800.0,1800,0,3600.0,2,10,141000,158021.36664926738
912,5,1964,0.0,912.0,912,0,1824.0,1,6,124000,95337.48194807058
2228,5,1979,2.0,0.0,1114,1114,2228.0,2,8,147983,178888.6473351675
1342,6,1939,1.0,739.0,874,468,2081.0,2,7,105000,132573.30036126915
864,5,1922,0.0,864.0,864,0,1728.0,1,4,99900,81925.42035739124
2500,8,2005,3.0,1168.0,1168,1332,3668.0,3,9,355000,293853.53273194935
1944,9,2003,3.0,1896.0,1944,0,3840.0,2,8,360000,314302.09835614427
1363,4,1910,2.0,622.0,741,622,1985.0,1,6,125500,100455.52623315447
1140,4,1910,0.0,576.0,792,348,1716.0,1,7,96500,57542.75658515876
943,5,1967,2.0,943.0,943,0,1886.0,1,5,134500,128449.69873579824
1535,7,2004,2.0,1517.0,1535,0,3052.0,2,7,214000,225555.3410539562
1040,5,1963,1.0,1040.0,1040,0,2080.0,1,5,133000,123087.5509914183
1218,6,1941,2.0,735.0,869,349,1953.0,1,6,131000,148386.98755861528
1276,5,1958,1.0,1276.0,1276,0,2552.0,1,5,60000,143344.50991763384
1487,6,1945,1.0,735.0,798,689,2222.0,1,7,113000,149127.8564388065
1092,4,1972,1.0,546.0,546,546,1638.0,1,5,79400,92577.81739510957
1535,5,1979,2.0,0.0,1535,0,1535.0,2,8,118858,142293.7421035983
630,5,1970,0.0,630.0,630,0,1260.0,1,3,92000,80620.51939700078
1820,7,1965,2.0,864.0,902,918,2684.0,1,8,201800,211167.22219648887
1522,5,1926,0.0,1008.0,1008,0,2016.0,2,7,102000,94780.9658733306
936,6,1957,1.0,936.0,936,0,1872.0,1,4,141000,135152.19352998154
2374,8,2003,3.0,1181.0,1234,1140,3555.0,2,10,285000,290063.77914978005
1701,5,1975,2.0,1390.0,1701,0,3091.0,2,6,171000,186417.1315349564
2358,8,2005,3.0,1524.0,1544,814,3882.0,2,10,329900,300578.9811596256
1064,5,1952,1.0,864.0,1064,0,1928.0,1,4,135000,120622.21391158982
1109,5,1971,1.0,372.0,576,533,1481.0,1,5,139000,111083.0551351211
1958,7,2005,3.0,1026.0,1026,932,2984.0,2,9,250000,242054.80592426506
2795,9,2005,3.0,1390.0,1390,1405,4185.0,3,10,401179,336708.15403362503
1969,6,1938,2.0,1272.0,1272,0,2544.0,2,9,141000,169283.33967058256
1824,7,1971,2.0,1643.0,1824,0,3467.0,2,5,302000,243766.67855615716
1152,4,1955,0.0,0.0,1152,0,1152.0,2,6,61500,64735.953887523385
1128,6,1966,1.0,1080.0,1128,0,2208.0,1,5,178000,152284.5779852413
1618,8,2004,3.0,1618.0,1618,0,3236.0,2,6,252000,270617.591880711
980,5,1962,2.0,980.0,980,0,1960.0,1,5,110000,130095.49662737816
1072,5,1925,5.0,1072.0,1072,0,2144.0,1,5,126500,164218.63701260672
1651,7,1999,2.0,831.0,873,778,2482.0,2,7,185900,208717.5874999616
1422,6,1981,2.0,1422.0,1422,0,2844.0,2,7,175500,186180.31836820894
1158,6,2004,0.0,1158.0,1158,0,2316.0,1,5,143500,156829.35462938866
894,5,1960,1.0,894.0,894,0,1788.0,1,5,117600,108344.3900980961
1959,8,2006,3.0,1088.0,1088,871,3047.0,2,8,270000,268471.8377206966
1009,5,1977,2.0,995.0,1009,0,2004.0,2,6,160000,128182.93931696692
1284,6,1984,2.0,1284.0,1284,0,2568.0,2,5,174000,180682.26736846904
1981,4,1928,2.0,1122.0,1328,653,3103.0,2,7,135000,152289.3485698835
892,4,1923,0.0,858.0,892,0,1750.0,1,5,70000,60279.24242883921
1060,5,1968,1.0,1060.0,1060,0,2120.0,1,6,154000,123612.86815217813
1143,7,2006,0.0,1143.0,1143,0,2286.0,1,5,147000,176961.17170611967
1977,6,1964,2.0,816.0,1127,850,2793.0,1,9,165000,198446.67218757723
1647,5,1977,2.0,1430.0,1647,0,3077.0,2,7,217500,180755.43117630924
980,6,1975,0.0,945.0,980,0,1925.0,2,4,127500,125501.5394497608
1347,5,1957,2.0,1347.0,1347,0,2694.0,1,6,143000,159444.30385499413
2402,10,2008,3.0,3094.0,2402,0,5496.0,2,10,555000,387786.79705168447
1344,7,1997,4.0,1344.0,1344,0,2688.0,2,8,209200,228305.76171464077
1461,4,1949,1.0,832.0,832,629,2293.0,2,6,133500,106233.45897992013
1027,7,1920,0.0,931.0,1027,0,1958.0,1,5,120000,133040.63986473414
1328,5,1950,1.0,768.0,768,560,2096.0,1,6,129500,123857.1754688056
1755,7,1991,2.0,975.0,975,780,2730.0,2,7,235000,216289.69014898932
2643,9,2006,3.0,2153.0,2069,574,4796.0,2,9,380000,361418.47617075243
1687,5,1948,2.0,747.0,1687,0,2434.0,1,7,160000,166591.75400032802
1057,5,1953,1.0,1057.0,1057,0,2114.0,1,5,109000,121048.31170435564
1218,7,2007,2.0,1218.0,1218,0,2436.0,1,6,159000,207143.15154542436
1709,7,2004,2.0,970.0,970,739,2679.0,2,7,130000,218044.39932081522
1414,7,2004,2.0,1414.0,1414,0,2828.0,2,6,185500,217747.70809720643
1668,8,2003,2.0,1657.0,1668,0,3325.0,2,8,232000,255415.87825185724
1320,6,1948,2.0,768.0,819,501,2088.0,2,5,138000,153634.63454312785
1216,5,1920,1.0,565.0,565,651,1781.0,1,6,115000,99523.41738246102
2787,7,2000,4.0,1168.0,1168,1619,3955.0,4,8,269500,298203.68179941364
1224,6,2009,2.0,612.0,612,612,1836.0,2,4,173733,167317.7762154222
1766,9,2009,3.0,1766.0,1766,0,3532.0,2,7,370878,303922.74801172037
1036,8,1980,2.0,1036.0,1036,0,2072.0,1,4,188000,207451.4984852795
1452,7,1999,2.0,691.0,713,739,2143.0,2,6,156000,194927.49859639897
1528,7,2007,2.0,1528.0,1528,0,3056.0,3,6,235876,222860.82650119136
2243,7,1990,3.0,700.0,1122,1121,2943.0,2,8,225000,252071.2877563556
1130,5,1920,2.0,1120.0,1130,0,2250.0,1,5,120000,128687.75421228225
894,5,1972,2.0,894.0,894,0,1788.0,1,5,149900,125681.61977680319
2329,7,1990,2.0,1475.0,1532,797,3804.0,2,10,262280,258469.7969238821
1692,7,1997,2.0,878.0,892,800,2570.0,2,8,191000,208490.92144470592
1422,5,1960,1.0,978.0,1422,0,2400.0,1,6,139900,145956.83604197134
1480,7,2003,2.0,1480.0,1480,0,2960.0,2,7,214000,220397.6202035175
1285,5,1948,1.0,672.0,1072,213,1957.0,1,6,127000,122686.43741783558
1740,7,2006,3.0,1721.0,1740,0,3461.0,2,8,293000,255256.6269771232
1836,5,1900,1.0,686.0,1150,686,2522.0,2,7,103000,130313.72331541893
980,5,1967,1.0,980.0,980,0,1960.0,2,6,135500,109130.78764659015
1445,6,1900,2.0,676.0,831,614,2121.0,2,6,138500,139038.9863306349
1796,6,1998,2.0,794.0,882,914,2590.0,2,7,211000,195773.63297807286
1344,4,1970,0.0,546.0,798,546,1890.0,1,6,97000,94392.17187487695
1749,7,1999,2.0,842.0,856,893,2591.0,2,7,196000,214670.2690531636
1792,9,2003,3.0,1792.0,1792,0,3584.0,2,6,374000,307336.5945294618
1839,6,1966,2.0,756.0,1051,788,2595.0,1,7,155000,194920.60286473623
1592,8,1994,2.0,1556.0,1592,0,3148.0,2,7,228000,247716.89845429303
1382,5,1941,2.0,720.0,854,0,1574.0,1,7,128500,116208.6826226865
894,5,1972,2.0,894.0,894,0,1788.0,1,6,123000,122521.89975892066
1440,5,1900,1.0,540.0,889,551,1980.0,1,6,79000,109713.66185046209
1666,5,1931,0.0,894.0,894,772,2560.0,1,7,100000,125507.61279183603
845,4,1957,1.0,0.0,845,0,845.0,1,5,84000,65481.43536384683
2822,9,2008,3.0,1734.0,1734,1088,4556.0,3,12,582933,344354.6315789514
2022,7,1977,2.0,1160.0,1156,866,3182.0,2,8,192000,230289.04184662097
1430,7,2000,2.0,384.0,774,656,1814.0,2,8,170000,182489.203932593
958,6,1976,2.0,958.0,958,0,1916.0,2,5,143750,147290.32173096796
948,4,1954,1.0,864.0,948,0,1812.0,1,5,111000,88779.752935683
1664,6,1947,2.0,1004.0,1004,660,2668.0,2,7,159000,174920.767756955
2274,5,1960,2.0,1105.0,1105,1169,3379.0,2,12,154300,183458.44142352708
2504,9,2005,3.0,1122.0,1134,1370,3626.0,2,11,325000,313880.72717701434
1090,5,2005,2.0,1090.0,1090,0,2180.0,1,5,157000,155988.36418205802
1048,5,1922,1.0,993.0,1048,0,2041.0,1,5,113000,107889.94355398754
2046,8,2008,3.0,2046.0,2046,0,4092.0,2,7,372500,308937.5515869991
1494,8,1995,2.0,1494.0,1494,0,2988.0,1,6,270000,249409.49205471354
1075,5,1963,2.0,981.0,1075,0,2056.0,1,6,148000,134360.95850369905
2727,8,1932,2.0,853.0,1549,1178,3580.0,2,10,315000,270621.0862831047
889,5,1984,2.0,864.0,889,0,1753.0,1,6,137500,125924.55160407233
1950,7,1997,2.0,975.0,975,975,2925.0,2,7,239000,230336.26341809903
1666,9,2006,2.0,1666.0,1666,0,3332.0,2,6,310090,283659.1198417458
1285,6,1926,2.0,861.0,861,424,2146.0,1,6,145400,149358.09947398608
864,5,1978,1.0,864.0,864,0,1728.0,1,6,136500,108911.41485029703
1588,7,1999,2.0,1588.0,1588,0,3176.0,2,6,214000,232206.21484177664
1133,6,2008,1.0,192.0,1133,0,1325.0,1,7,143000,144361.79120815708
971,5,1969,1.0,971.0,971,0,1942.0,1,5,128500,118811.91733332118
1220,7,2006,2.0,1199.0,1220,0,2419.0,2,6,194000,199922.84702506848
1954,7,1939,2.0,798.0,1137,817,2752.0,1,8,311500,211726.1487941777
1224,5,1917,1.0,689.0,725,499,1913.0,1,6,107500,103448.65736197948
1022,5,1994,2.0,1022.0,1022,0,2044.0,1,6,139500,142477.0002363316
1288,5,1941,1.0,824.0,824,464,2112.0,1,6,112000,119985.01870102913
864,5,1958,1.0,864.0,864,0,1728.0,1,6,118000,101653.13991849532
1170,5,1958,1.0,1170.0,1170,0,2340.0,1,6,140000,130271.3071375835
1360,8,1984,2.0,1220.0,1360,0,2580.0,1,4,187500,236490.44467781566
1548,6,1978,2.0,804.0,804,744,2352.0,2,7,147000,172579.24855368026
2048,6,1976,2.0,1958.0,2048,0,4006.0,3,9,170000,228209.77336440177
1230,4,1946,1.0,747.0,774,456,1977.0,1,5,121600,98463.8866790717
1050,6,1954,1.0,1050.0,1050,0,2100.0,1,6,156000,138405.6823948908
988,5,1961,2.0,988.0,988,0,1976.0,1,5,128500,130480.77025906486
987,6,1971,1.0,483.0,483,504,1470.0,1,5,89500,125384.19032555283
1128,5,1954,1.0,936.0,1128,0,2064.0,1,5,118000,124328.92313390388
1710,9,2007,2.0,1710.0,1710,0,3420.0,2,6,334000,288137.06416885834
1223,7,2005,2.0,600.0,520,623,1743.0,2,4,147400,182478.605761145
1302,5,1972,1.0,630.0,630,672,1932.0,2,6,119500,119114.87145475298
1820,6,1993,2.0,864.0,920,900,2684.0,2,7,191750,197281.22532358672
1479,6,1976,2.0,725.0,725,754,2204.0,2,6,130500,168233.46204044088
1040,3,1950,2.0,0.0,1040,0,1040.0,2,6,81400,59773.88847135822
1511,7,2002,2.0,1368.0,1511,0,2879.0,2,5,246990,226480.91144917882
951,4,1936,1.0,951.0,951,0,1902.0,1,6,106500,80996.7343144539
1456,6,1975,2.0,855.0,855,601,2311.0,2,7,143000,167556.20193807385
1092,4,1972,1.0,546.0,546,546,1638.0,1,5,85500,92577.81739510957
1442,6,1958,1.0,1442.0,1442,0,2884.0,1,7,157900,173358.79889893276
1970,8,2006,3.0,1085.0,1120,850,3055.0,2,8,281000,269507.8030529567
2810,8,1990,2.0,1453.0,1453,1357,4263.0,2,9,302000,310240.70844716835
1986,7,2003,2.0,847.0,847,1139,2833.0,2,9,213000,224205.51749913453
1535,5,1979,2.0,0.0,1535,0,1535.0,2,8,118964,142293.7421035983
1441,6,1978,2.0,855.0,855,586,2296.0,2,7,148500,167731.93619403103
2198,8,2000,3.0,1145.0,1145,1053,3343.0,2,9,250000,279543.28836376057
2668,9,2003,3.0,1572.0,1572,1096,4240.0,2,10,412500,340832.9385059241
1498,6,1995,2.0,691.0,691,807,2189.0,2,6,187500,175174.98487744888
1053,5,1963,2.0,1053.0,1053,0,2106.0,1,6,142100,134125.9001828615
1081,6,1960,1.0,1081.0,1081,0,2162.0,1,5,148000,146642.11098313658
1836,8,2004,3.0,1836.0,1836,0,3672.0,2,7,280000,287845.97792087216
1144,5,1963,1.0,1144.0,1144,0,2288.0,1,6,124000,129654.26689113444
1516,6,1964,2.0,1516.0,1516,0,3032.0,1,6,167000,198598.9993650423
2674,10,2007,3.0,2630.0,2674,0,5304.0,2,8,610000,404912.24388848525
1536,5,1930,2.0,928.0,928,608,2464.0,2,7,138400,137669.5221762556
924,4,1941,1.0,672.0,672,252,1596.0,1,5,80000,75216.50557594164
1067,4,1950,2.0,1067.0,1067,0,2134.0,2,4,128000,109590.6555308901
2122,7,1996,2.0,913.0,913,1209,3035.0,2,8,220000,235258.08641946444
2196,7,1990,3.0,2158.0,2196,0,4354.0,2,7,271900,294888.0386494382
1200,7,2004,2.0,600.0,600,600,1800.0,2,4,151000,184459.36174582597
1040,4,1963,2.0,1064.0,1040,0,2104.0,1,5,132250,115726.28295563045
1224,5,1960,2.0,1224.0,1224,0,2448.0,1,7,131000,145869.9441358758
2117,6,1970,2.0,1205.0,2117,0,3322.0,2,7,237500,229505.33547208586
1187,7,1992,2.0,1168.0,1187,0,2355.0,2,6,160000,191794.55731761584
1939,7,1998,3.0,1054.0,1070,869,2993.0,2,8,227000,242644.3255229207
2156,7,1968,2.0,1568.0,2156,0,3724.0,2,9,262500,253197.982522542
1912,6,1905,2.0,482.0,1221,691,2394.0,2,7,163000,167532.24030172382
672,5,1940,1.0,672.0,672,0,1344.0,1,4,64000,83483.63543699519
1418,8,2010,3.0,1642.0,1418,0,3060.0,1,6,267916,265070.55906201794
1564,7,1941,1.0,704.0,860,704,2268.0,1,7,174500,173393.4324064008
864,5,1955,2.0,864.0,864,0,1728.0,1,5,115000,116706.3834162337
1524,5,1958,1.0,874.0,874,650,2398.0,1,7,144000,138992.29008868977
1576,6,1961,2.0,1208.0,1576,0,2784.0,1,7,174500,192827.21828757273
1440,5,1968,2.0,720.0,720,720,2160.0,1,7,163000,145461.78450018202
1573,4,1935,1.0,884.0,989,584,2457.0,1,6,133000,117698.39264060569
1367,7,2005,2.0,1367.0,1367,0,2734.0,2,6,192000,213715.02099642006
1446,7,1996,2.0,729.0,729,717,2175.0,2,6,175000,194422.5876857955
2398,7,1996,3.0,1379.0,1383,1015,3777.0,2,8,315750,280310.58459513774
2234,8,2006,2.0,2220.0,2234,0,4454.0,1,7,441929,319177.7259785242
1456,7,2005,2.0,728.0,728,728,2184.0,2,8,184000,191945.38640185283
1656,8,2006,3.0,1656.0,1656,0,3312.0,2,7,249700,271737.58940282394
1456,8,2003,2.0,1273.0,1456,0,2729.0,2,7,215000,235413.92424816068
1728,5,1965,2.0,1728.0,1728,0,3456.0,2,10,142600,178703.8646703884
1844,8,2005,2.0,1844.0,1844,0,3688.0,2,7,257000,275974.81432611286
1117,6,1977,2.0,1029.0,1117,0,2146.0,1,6,147000,164294.90265033487
1648,8,2007,2.0,1596.0,1648,0,3244.0,2,5,230000,263681.32340206264
919,6,1940,1.0,600.0,600,319,1519.0,1,5,95000,113815.68512153148
1465,6,1998,2.0,789.0,789,676,2254.0,2,7,180400,174295.70715792722
1252,6,1959,2.0,1252.0,1252,0,2504.0,1,7,142000,168934.52713107446
3140,9,2008,3.0,1926.0,1966,1174,5066.0,3,11,485000,373670.8453367129
1302,6,2005,2.0,1302.0,1302,0,2604.0,1,5,200000,196624.17062421364
1370,5,1956,1.0,1058.0,1370,0,2428.0,1,6,148000,142201.15799004503
1690,7,1916,1.0,815.0,815,875,2505.0,1,7,144000,173544.8174099496
1708,7,2004,2.0,976.0,976,732,2684.0,2,7,130000,218179.46992874343
1137,5,1947,0.0,0.0,929,208,1137.0,1,8,96000,79087.46645485144
1578,8,2008,3.0,1573.0,1578,0,3151.0,2,7,287090,265071.6507573036
1458,5,1967,2.0,1176.0,1458,0,2634.0,1,7,165000,164827.45026833215
899,5,1967,1.0,864.0,899,0,1763.0,1,5,130000,110673.8290321409
1948,7,2003,2.0,847.0,847,1101,2795.0,2,8,211000,225052.2864913575
943,5,1979,2.0,943.0,943,0,1886.0,1,4,135960,135964.3837127618
1314,8,2009,2.0,1300.0,1314,0,2614.0,2,6,229456,230747.34575811285
1383,4,1954,2.0,0.0,1383,0,1383.0,1,6,122000,114100.18204100011
1444,6,1976,2.0,1444.0,1444,0,2888.0,2,5,159900,192742.70496128476
1352,7,2006,2.0,1352.0,1352,0,2704.0,2,5,208900,215834.8034266237
1660,8,2006,2.0,1660.0,1660,0,3320.0,2,8,290000,255969.69835445343
1497,6,1937,1.0,825.0,825,672,2322.0,2,5,157000,148618.51860529976
2158,6,1950,2.0,1202.0,2158,0,3360.0,2,7,243000,225228.45588954166
2233,5,1979,2.0,0.0,1100,1133,2233.0,2,11,141000,169528.06464376906
1149,4,1960,1.0,1014.0,1149,0,2163.0,1,7,127000,102447.22341355064
1414,4,1922,0.0,864.0,964,0,1828.0,1,8,83000,68194.44209564582
1516,6,1994,2.0,707.0,707,809,2223.0,2,7,181316,173270.46013403824
1390,7,2003,2.0,1390.0,1390,0,2780.0,2,7,207000,211980.51219790324
1192,4,1949,0.0,720.0,720,472,1912.0,1,6,135000,79857.724176739
1026,5,1977,1.0,1026.0,1026,0,2052.0,1,5,150000,126859.0155316951
1614,7,2005,2.0,1614.0,1614,0,3228.0,2,7,225000,233655.5862828343
2519,7,1989,2.0,1210.0,1238,1281,3729.0,2,9,335000,263792.65641744237
1526,3,1915,0.0,1013.0,1013,0,2026.0,1,6,85000,59408.52252071502
1640,7,2003,2.0,798.0,798,842,2438.0,2,6,183000,211024.4915813387
1552,6,1975,2.0,713.0,811,741,2265.0,2,6,179900,173222.28156119736
1651,8,2007,3.0,1643.0,1651,0,3294.0,2,7,250000,271477.78331718897
904,5,1970,3.0,864.0,904,0,1768.0,1,5,144000,138097.77762208506
1560,5,1968,3.0,1560.0,1560,0,3120.0,2,8,126000,183382.37572173658
492,3,1921,1.0,492.0,492,0,984.0,1,3,61500,21296.096422797767
1146,7,2003,2.0,868.0,1146,0,2014.0,2,6,187500,186930.69763047248
2492,10,2004,3.0,2492.0,2492,0,4984.0,2,8,552000,387655.30475732824
1405,7,2003,2.0,1405.0,1405,0,2810.0,2,6,173000,216543.0835500548
936,5,1967,1.0,936.0,936,0,1872.0,1,4,118500,117972.49007806252
1256,5,1965,1.0,1256.0,1256,0,2512.0,1,6,147500,140854.7176801901
